xgb_losses_train,xgb_losses_test,xgb_sci_losses_train,xgb_sci_losses_test
0.5484403649033528,1.2167818591475341,0.5423025313281385,1.3853750308094854
0.6620685446377401,0.860951561381698,0.6619316486857227,0.839684050925412
0.66631924571268,0.82664139735479,0.6657134364173698,0.8028624774278189
0.656830871300273,0.7640903356626092,0.6561812137081459,0.7500824497411399
0.6538564967679518,0.8304067813249559,0.6535525107943966,0.8244522534567963
0.6628300899343122,0.8433000393859917,0.6627329476470748,0.8451879451784404
0.6691598731657895,0.8209147296152023,0.6682810694614131,0.81895502980271
0.6644410586553855,0.7081537022378744,0.6636766474050111,0.697054187292616
0.650912543901794,0.7195477204341356,0.6495953868364335,0.7346358429227188
0.6378411553241027,0.7706699349811704,0.6376334995150262,0.7713271204251734
0.6268562651138074,0.7332690463807454,0.6268142431792165,0.7332162260577827
0.6194771620233698,0.7599502006223009,0.619464255370019,0.7598607414903877
0.6138500531616149,0.717605755350081,0.6138318099167784,0.7172229725577774
0.6081437807997624,0.7329738991324775,0.6081370737232957,0.7328105919402285
